Metric,Value
Constraints Found,311.0
Constraints Searched,400.0
MatchingResult Score,1073.0
InsertionResult Score,512.0
Matching Rate (%),77.75
Latency (s),0.10091649
Submaps:,"{'active': 6.0, 'frozen': 0.0, 'deleted': 0.0}"
Num Submap Scan Matchers,4.0
Work Queue Delay (s),0.0
Real-time Ratio (Sensor / Wall clock duration),0.9960770534131737
CPU Real-time Ratio (Sensor / Cpu duration),9.21252617470944

"Matching Score Bucket (Bucket , Count)"

"Local Trajectory Builder Residuals (Bucket , Count)"
0.01,2131.0
0.02,13.0

"Local Trajectory Builder Costs (Bucket , Count)"
0.02,8.0
0.04,319.0
0.08,426.0
0.16,317.0
0.32,2.0

"Local Trajectory Builder Scores (Bucket , Count)"
